3135,26,5746,2009-09-14,2009-07-28
3137,26,5747,2009-09-15,2009-07-28
3139,26,5748,2009-09-16,2009-07-28
3141,26,5749,2009-09-17,2009-08-05
3143,26,5750,2009-09-18,2009-07-28
3145,26,5751,2009-09-21,2009-07-28
3146,26,5752,2009-09-22,2009-07-29
3148,26,5753,2009-09-23,2009-07-29
3150,26,5754,2009-09-24,2009-07-29
3151,26,5755,2009-09-25,2009-07-29
3152,26,5756,2009-09-28,2009-07-29
3153,26,5757,2009-09-29,2009-08-05
3155,26,5758,2009-09-30,2009-08-05
3158,26,5759,2009-10-01,2009-08-05
3159,26,5760,2009-10-02,2009-08-11
3161,26,5761,2009-10-05,2009-08-11
3164,26,5762,2009-10-06,2009-08-11
3165,26,5763,2009-10-07,2009-08-11
3168,26,5764,2009-10-08,2009-08-11
3169,26,5765,2009-10-09,2009-08-12
3171,26,5766,2009-10-12,2009-08-12
3173,26,5767,2009-10-13,2009-08-12
3176,26,5768,2009-10-14,2009-08-12
3178,26,5769,2009-10-15,2009-08-05
3179,26,5770,2009-10-16,2009-08-12
3181,26,5771,2009-10-19,2009-09-23
3184,26,5772,2009-10-20,2009-09-23
3185,26,5773,2009-10-21,2009-09-23
3189,26,5774,2009-10-22,2009-09-23
3190,26,5775,2009-10-23,2009-09-23
3193,26,5776,2009-10-26,2009-09-29
3194,26,5777,2009-10-27,2009-09-29
3195,26,5778,2009-10-28,2009-09-29
3196,26,5779,2009-10-29,2009-09-29
3197,26,5780,2009-10-30,2009-09-29
3198,26,5781,2009-11-02,2009-08-17
3200,26,5782,2009-11-03,2009-08-17
3201,26,5783,2009-11-04,2009-08-17
3203,26,5784,2009-11-05,2009-08-17
3204,26,5785,2009-11-06,2009-08-17
3206,26,5786,2009-11-09,2009-08-18
3209,26,5787,2009-11-10,2009-08-18
3210,26,5788,2009-11-11,2009-08-18
3212,26,5789,2009-11-12,2009-08-18
3213,26,5790,2009-11-13,2009-08-18
3215,26,5791,2009-11-16,2009-09-30
3217,26,5792,2009-11-17,2009-09-30
3219,26,5793,2009-11-18,2009-09-30
3222,26,5794,2009-11-19,2009-09-26
3223,26,5795,2009-11-20,2009-09-30
3224,26,5796,2009-11-23,2009-09-30
3226,26,5797,2009-11-24,2009-10-13
3227,26,5798,2009-11-25,2009-10-13
3228,26,5799,2009-11-26,2009-10-13
3229,26,5800,2009-11-27,2009-10-13
3231,26,5801,2009-11-30,2009-10-13
3232,26,5802,2009-12-01,2009-10-14
3234,26,5803,2009-12-02,2009-10-14
3235,26,5804,2009-12-03,2009-10-14
3237,26,5805,2009-12-04,2009-10-14
3239,26,5806,2009-12-07,2009-10-14
3240,26,5807,2009-12-08,2009-11-03
3242,26,5808,2009-12-09,2009-11-03
3244,26,5809,2009-12-10,2009-11-03
3246,26,5810,2009-12-11,2009-11-03
3249,26,5813,2009-12-16,2009-11-04
3250,26,5814,2009-12-17,2009-09-26
3252,26,5815,2009-12-18,2009-11-04
3253,26,5811,2009-12-14,2009-11-03
3254,26,5812,2009-12-15,2009-11-04
3255,26,5816,2009-12-21,2009-11-04
3256,26,5817,2009-12-22,2009-11-04
3257,26,5819,2009-12-24,2009-11-10
3258,26,5818,2009-12-23,2009-11-10
3259,26,5820,2009-12-25,2009-11-10
3261,26,5821,2009-12-28,2009-11-10
3263,26,5822,2009-12-29,2009-11-11
3264,26,5823,2009-12-30,2009-11-11
3265,26,5824,2009-12-31,2009-11-11
3266,26,5825,2010-01-01,2009-11-11
3268,26,5826,2010-01-04,2009-11-11
3269,26,5827,2010-01-05,2009-11-16
3271,26,5828,2010-01-06,2009-11-16
3273,26,5829,2010-01-07,2009-11-16
3274,26,5830,2010-01-08,2009-11-16
3275,26,5831,2010-01-11,2009-11-17
3277,26,5832,2010-01-12,2009-11-17
3279,26,5833,2010-01-13,2009-11-17
3280,26,5834,2010-01-14,2009-11-17
3282,26,5835,2010-01-15,2009-11-17
3283,26,5836,2010-01-18,2009-12-01
3285,26,5837,2010-01-19,2009-12-01
3287,26,5838,2010-01-20,2009-12-01
3288,26,5839,2010-01-21,2009-09-26
3290,26,5840,2010-01-22,2009-12-01
3291,26,5841,2010-01-25,2009-12-01
3293,26,5842,2010-01-26,2009-12-02
3295,26,5843,2010-01-27,2009-12-02
3296,26,5844,2010-01-28,2009-12-02
3298,26,5845,2010-01-29,2009-12-02
3300,26,5846,2010-02-01,2010-01-05
3301,26,5847,2010-02-02,2010-01-05
3303,26,5848,2010-02-03,2010-01-05
3305,26,5849,2010-02-04,2010-01-05
3306,26,5850,2010-02-05,2010-01-05
3307,26,5851,2010-02-08,2010-01-06
3309,26,5852,2010-02-09,2010-01-06
3311,26,5853,2010-02-10,2010-01-06
3312,26,5854,2010-02-11,2010-01-06
3314,26,5855,2010-02-12,2010-01-06
3317,26,5856,2010-02-15,2009-12-02
3318,26,5857,2010-02-16,2009-12-07
3319,26,5858,2010-02-17,2009-12-07
3321,26,5859,2010-02-18,2009-11-16
